commit,repo,file,change_type,diff,change_count,condition_type,commit_subject,commit_body,note
000b8a699ceefd0a362bb307e01261617b4dbf51,spring-projects/spring-framework,spring-web/src/main/java/org/springframework/web/client/DefaultRestClientBuilder.java,Add_Condition,"+import org.springframework.http.client.ReactorClientHttpRequestFactory;
+	private static final boolean reactorNettyClientPresent;
+
+		reactorNettyClientPresent = ClassUtils.isPresent(""reactor.netty.http.client.HttpClient"", loader);
+		else if (reactorNettyClientPresent) {
+			return new ReactorClientHttpRequestFactory();
+		}",7,condition,Auto-detect Reactor Netty client in RestClient,"Closes gh-33635
",
009d2a5efd456a37c29fd984be3087f09082c325,spring-projects/spring-framework,spring-core/src/main/java/org/springframework/core/env/SystemEnvironmentPropertySource.java,Remove_Condition,"-		if (actualName == null) {
-			// at this point we know the property does not exist
-			return null;
-		}",3,condition,Remove unnecessary null check in SysEnvPropSource,"Remove unnecessary null check and dead code from
SystemEnvironmentPropertySource.

Issue: SPR-10318
",
010e8a303b1caf3b80e244fc5e4aebc23d854118,spring-projects/spring-framework,spring-web/src/main/java/org/springframework/http/client/reactive/JdkClientHttpRequest.java,Condition_Change,"- * Copyright 2002-2023 the original author or authors.
+ * Copyright 2002-2024 the original author or authors.
-		if (!cookies.isEmpty()) {
-			this.builder.header(HttpHeaders.COOKIE, cookies.values().stream()
-					.flatMap(List::stream).map(HttpCookie::toString).collect(Collectors.joining("";"")));
+		if (cookies.isEmpty()) {
+			return;
+		this.builder.header(HttpHeaders.COOKIE, cookies.values().stream()
+				.flatMap(List::stream).map(HttpCookie::toString).collect(Collectors.joining("";"")));",7,condition,Polishing contribution,"Closes gh-32799
",
01c8de0111806d8f9346f332b22ece9dd9fef618,spring-projects/spring-framework,spring-aop/src/main/java/org/springframework/aop/framework/autoproxy/target/AbstractBeanFactoryBasedTargetSourceCreator.java,Remove_Condition,"-			DefaultListableBeanFactory internalBeanFactory = this.internalBeanFactories.get(beanName);
-			if (internalBeanFactory == null) {
-				internalBeanFactory = buildInternalBeanFactory(this.beanFactory);
-				this.internalBeanFactories.put(beanName, internalBeanFactory);
-			}
-			return internalBeanFactory;
+			return this.internalBeanFactories.computeIfAbsent(beanName, k -> buildInternalBeanFactory(this.beanFactory));",7,condition,Simplify getInternalBeanFactoryForBean,"This commit simplifies getInternalBeanFactoryForBean() in
AbstractBeanFactoryBasedTargetSourceCreator via
Map::computeIfAbsent.

Closes gh-27234",
01df63b9cdd12f89763874a14cc50e0c4f8a7e4d,spring-projects/spring-framework,spring-jms/src/main/java/org/springframework/jms/support/SimpleJmsHeaderMapper.java,Condition_Change,"-			Set<Map.Entry<String, Object>> entries = headers.entrySet();
-			for (Map.Entry<String, Object> entry : entries) {
+			for (Map.Entry<String, Object> entry : headers.entrySet()) {",3,iteration,Delete unnecessary variable,"See gh-27101
",
0268e762980f302e251a92743dd6724403660399,spring-projects/spring-framework,spring-orm/src/main/java/org/springframework/orm/jpa/ExtendedEntityManagerCreator.java,Add_Condition,"-				Set<Class<?>> ifcs = new LinkedHashSet<>(4);
-				ifcs.add(key);
-				ifcs.add(EntityManagerProxy.class);
-				return ClassUtils.toClassArray(ifcs);
+				if (EntityManagerProxy.class.equals(key)) {
+					return new Class<?>[] {key};
+				}
+				return new Class<?>[] {key, EntityManagerProxy.class};",8,condition,Improve mapping function in ExtendedEntityManagerCreator.createProxy(),"Closes gh-27456
",
02b539c5f50b59d9f5605c21e42d53f0c8e23ae1,spring-projects/spring-framework,spring-context/src/main/java/org/springframework/context/annotation/ConfigurationClassBeanDefinitionReader.java,Add_Condition,"+import org.springframework.core.SpringProperties;
+ * @author Sebastien Deleuze
+	/**
+	 * Boolean flag controlled by a {@code spring.xml.ignore} system property that instructs Spring to
+	 * ignore XML, i.e. to not initialize the XML-related infrastructure.
+	 * <p>The default is ""false"".
+	 */
+	private static final boolean shouldIgnoreXml = SpringProperties.getFlag(""spring.xml.ignore"");
+	
+
+				else if (shouldIgnoreXml) {
+					throw new UnsupportedOperationException(""XML support disabled"");
+				}",8,condition,Leverage spring.ignore.xml flag to avoid XmlBeanDefinitionReader,"Closes gh-25338
",
030bc224e30699a91e33e27a6d9782803afbd0d4,spring-projects/spring-framework,spring-web/src/main/java/org/springframework/http/server/reactive/ServletServerHttpRequest.java,Condition_Change,"-			if (!this.inputStream.isFinished() && this.inputStream.isReady()) {
+			if (this.inputStream.isReady() && !this.inputStream.isFinished()) {",2,condition,Invert the check for ServletInputStream.isReady(),"When checking whether there is still request body the first method
that should be checked is ServletInputStream.isReady() and then
ServletInputStream.isFinished(). ServletInputStream.isReady() is the active
method whereas the ServletInputStream.isFinished() is not.
It is important to call ServletInputStream.isReady() because if it returns
false it will schedule a dispatch and if the request body is already read it will
send onAllDataRead event.

Issue: SPR-16521
",
03468fd9ed2e9b07c672897ef6fd98a0224228bd,spring-projects/spring-framework,spring-context/src/main/java/org/springframework/context/support/ReloadableResourceBundleMessageSource.java,Add_Condition,"-		mergedHolder = new PropertiesHolder(mergedProps, -1);
+		long latestTimestamp = -1;
+					if (propHolder.getFileTimestamp() > latestTimestamp) {
+						latestTimestamp = propHolder.getFileTimestamp();
+					}
+		mergedHolder = new PropertiesHolder(mergedProps, latestTimestamp);",6,condition,ReloadableResourceBundleMessageSource sets file timestamp on merged holder,"Issue: SPR-14583
",
03b409f891f8ae3e2e22fc347695d07211cf5b8e,spring-projects/spring-framework,spring-aop/src/main/java/org/springframework/aop/framework/autoproxy/AbstractAutoProxyCreator.java,Remove_Condition,"-		for (Advisor advisor : advisors) {
-			proxyFactory.addAdvisor(advisor);
-		}
-
+		
+		proxyFactory.addAdvisors(advisors);
+",7,iteration,Use dedicated addAdvisors,"See gh-1469
",
