repo,file,commit,change_type,diff,change_count,condition_type,commit_subject,commit_body,linked_issues,linked_issues_count,issue_titles,issue_bodies,issue_states,issue_comments_count,issue_comments,MAN_ANNOTATED,COMMIT_DESC_ENOUGH,MAN_LINKED_ISSUES,DESC_ISSUE,ISSUE_NAME_CHNG_AFTER_CODE_IMP
spring-projects/spring-framework,spring-web/src/main/java/org/springframework/http/server/reactive/ServletServerHttpRequest.java,030bc224e30699a91e33e27a6d9782803afbd0d4,Condition_Change,"-			if (!this.inputStream.isFinished() && this.inputStream.isReady()) {
+			if (this.inputStream.isReady() && !this.inputStream.isFinished()) {",2,condition,Invert the check for ServletInputStream.isReady(),"When checking whether there is still request body the first method
that should be checked is ServletInputStream.isReady() and then
ServletInputStream.isFinished(). ServletInputStream.isReady() is the active
method whereas the ServletInputStream.isFinished() is not.
It is important to call ServletInputStream.isReady() because if it returns
false it will schedule a dispatch and if the request body is already read it will
send onAllDataRead event.

Issue: SPR-16521
",[],0,[],[],[],[],[],1,1,21064,0,0
spring-projects/spring-framework,spring-websocket/src/main/java/org/springframework/web/socket/server/standard/AbstractTyrusRequestUpgradeStrategy.java,0f70ac74cd07228bcf67db925b1c01c6b17fc092,Condition_Change,"-				if (constructor.getParameterCount() == 9) {
+				if (constructor.getParameterTypes().length == 9) {",2,condition,Polish,"Constructor.getParameterCount is JDK8+ only!
",[],0,[],[],[],[],[],1,1,n/a,n/a,n/a
spring-projects/spring-framework,spring-core/src/main/java/org/springframework/cglib/proxy/MethodProxy.java,1b1682eacd9c8aabbb86f24dc9c54070f3dd18b4,Condition_Change,"-		if (!c1.isInterface() && c1 != Object.class) {
+		if (!c1.isInterface() && c1 != Object.class && !Factory.class.isAssignableFrom(c2)) {",2,condition,Narrow early initialization of CGLIB method proxies (for AOT processing),"Do not trigger early initialization on Factory classes (e.g. AOP proxies)

See gh-29107
",['https://api.github.com/repos/spring-projects/spring-framework/issues/29107'],1,['CGLIB proxies are not used at runtime on `@Configuration` classes in AOT mode'],"['Consider the following configuration class:\r\n\r\n```java\r\n@Configuration\r\npublic class MyConfiguration {\r\n\t@Bean\r\n\tA a() { return new A(); }\r\n\r\n\t@Bean\r\n\tB b() { return new B(this.a()); }\r\n\t\r\n\tstatic class A {\r\n\t\tpublic A() { System.out.println(""A constructor""); }\r\n\t}\r\n\r\n\tstatic class B {\r\n\t\tpublic B(A a) { System.out.println(""B constructor""); }\r\n\t}\r\n}\r\n```\r\n\r\nOn JVM in regular mode, it prints:\r\n\r\n```\r\nA constructor\r\nB constructor\r\n```\r\n\r\nOn JVM in AOT mode or native, while it seems CGLIB proxies are generated correctly at build time,  but they seems not used since it prints:\r\n\r\n```\r\nA constructor\r\nA constructor\r\nB constructor\r\n```\r\n\r\nThe code generated AOT maybe needs to be updated to leverage those CGLIB proxies.']",['closed'],[2],"[""We need to swap the creation of the raw class to the cglib proxy. I was hoping I could avoid having to change code generation for this but it turns out that there isn't a way to achieve this using an instance supplier. \r\n\r\nI've a proposal in [3b8bcdf](https://github.com/snicoll/spring-framework/commit/3b8bcdfe281b606a1ce8ee354b0cef56913ccfcd).\r\n\r\nThis is blocked by https://github.com/spring-projects/spring-boot/issues/32304 and, to some extent, https://github.com/spring-projects/spring-framework/issues/29141"", 'I have it working but I think it needs a bit more work to test it correctly. ']",1,1,29107,0,0
spring-projects/spring-framework,spring-aop/src/main/java/org/springframework/aop/framework/autoproxy/AbstractAutoProxyCreator.java,03b409f891f8ae3e2e22fc347695d07211cf5b8e,Remove_Condition,"-		for (Advisor advisor : advisors) {
-			proxyFactory.addAdvisor(advisor);
-		}
-
+		
+		proxyFactory.addAdvisors(advisors);
+",7,iteration,Use dedicated addAdvisors,"See gh-1469
",['https://api.github.com/repos/spring-projects/spring-framework/issues/1469'],1,['replace for  with addAdvisors method'],['replace the code \r\nfor (Advisor advisor : advisors) {\r\n\t\t\tproxyFactory.addAdvisor(advisor);\r\n\t\t}\r\nwith\r\nproxyFactory.addAdvisors(advisors)'],['closed'],[2],"['@IAMTJW Please sign the [Contributor License Agreement](https://cla.pivotal.io/sign/spring?repositoryId=spring-projects/spring-framework&pullRequestId=1469)!\n\n[Click here](https://cla.pivotal.io/sync/spring?repositoryId=spring-projects/spring-framework&pullRequestId=1469) to manually synchronize the status of this Pull Request.\n\nSee the [FAQ](https://cla.pivotal.io/about) for frequently asked questions.', '@IAMTJW Thank you for signing the [Contributor License Agreement](https://cla.pivotal.io/sign/spring?repositoryId=spring-projects/spring-framework&pullRequestId=1469)!']",,,,,
spring-projects/spring-framework,spring-web/src/main/java/org/springframework/web/method/support/InvocableHandlerMethod.java,03d6350e4b3c7e23e3cc84bf3f261f2c53b5b1e9,Condition_Change,"-		if (providedArgs == null || parameter.hasParameterAnnotations()) {
+		if (providedArgs == null) {",2,condition,Fix issue with resolution of WebDataBinder argument,"There is usually not need to put annotations on a WebDataBinder
argument in an `@InitBinder` method. However, the presence of any
annotation prevented the successful resolution of the argument.
This fix addresses the issue.

Issue: SPR-8946
",[],0,[],[],[],[],[],,,,,
spring-projects/spring-framework,spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/method/annotation/AbstractMessageConverterMethodProcessor.java,050e79e45ed0cdab1a4e3f522e2e9b601a13d94d,Add_Condition,"+		try {
+			int status = response.getServletResponse().getStatus();
+			if (status < 200 || status > 299) {
+				return;
+			}
+		}
+		catch (Throwable ex) {
+		}
+",9,condition,Skip Content-Disposition header if status != 2xx,"Issue: SPR-13588
",[],0,[],[],[],[],[],,,,,
spring-projects/spring-framework,spring-expression/src/main/java/org/springframework/expression/spel/ast/Indexer.java,1eed71bb1d848935d47f8b71538a165aed48981d,Add_Condition,"-			Assert.state(compilablePropertyAccessor != null, ""No cached read accessor"");
+			Assert.state(compilablePropertyAccessor != null, ""No cached PropertyAccessor for reading"");",2,iteration,Polishing,,[],0,[],[],[],[],[],1,1,n/a,n/a,n/a
spring-projects/spring-framework,spring-core/src/main/java/org/springframework/util/ClassUtils.java,052bbcc53031bd48dc76d070ba862f5293618600,Condition_Change,"+		Class<?>[] parameterTypes = null;
-			Class<?>[] ifcs = current.getInterfaces();
-			for (Class<?> ifc : ifcs) {
+			if (parameterTypes == null) {
+				parameterTypes = method.getParameterTypes();
+			}
+			for (Class<?> ifc : current.getInterfaces()) {
-					return ifc.getMethod(method.getName(), method.getParameterTypes());
+					return ifc.getMethod(method.getName(), parameterTypes);",9,iteration,Cache parameter types array in ClassUtils.findInterfaceMethodIfPossible(),,[],0,[],[],[],[],[],0,,,,
spring-projects/spring-framework,spring-context/src/main/java/org/springframework/context/support/AbstractApplicationContext.java,05683fed7a3f9b51c4a251363504b0aef12826d3,Condition_Change,"-		if (beanFactory.getTempClassLoader() == null && beanFactory.containsBean(LOAD_TIME_WEAVER_BEAN_NAME)) {
+		if (!IN_NATIVE_IMAGE && beanFactory.getTempClassLoader() == null && beanFactory.containsBean(LOAD_TIME_WEAVER_BEAN_NAME)) {",2,condition,Skip LoadTimeWeaverAwareProcessor with native images,,[],0,[],[],[],[],[],,,,,
spring-projects/spring-framework,spring-beans/src/main/java/org/springframework/beans/factory/support/RootBeanDefinition.java,05b15812bbffc86cd3ee4c664e2eccfb4ec0092b,Condition_Change,"-		if (attribute instanceof Constructor<?>[]) {
-			return (Constructor<?>[]) attribute;
+		if (attribute instanceof Constructor<?>[] constructors) {
+			return constructors;",4,condition,Apply instanceof pattern matching in RootBeanDefinition,"Closes gh-32520
",['https://api.github.com/repos/spring-projects/spring-framework/issues/32520'],1,['Apply instanceof pattern matching in `RootBeanDefinition`'],['This pull request applies the instanceof pattern matching in the RootBeanDefinition class. This enhancement will improve code readability.'],['closed'],[3],"['Hi @FelixDes,\r\n\r\nIn the future, please do your best to collect multiple related changes in a PR, since we generally do not like to merge PRs that effectively change a single line of code for style-related reasons.', 'This has been merged into `main`.\r\n\r\nThanks', ""Thanks a lot for your advice. I'm very glad to see that my PR has been accepted.""]",,,,,
spring-projects/spring-framework,spring-web/src/main/java/org/springframework/http/converter/StringHttpMessageConverter.java,05d616240ad08f69926368f5549b6472c27a0d5c,Add_Condition,"+		else if (contentType != null && contentType.isCompatibleWith(MediaType.APPLICATION_JSON)) {
+			return StandardCharsets.UTF_8;
+		}",3,condition,StringHttpMessageConverter defaults to UTF-8 for JSON,"Issue: SPR-17568
",[],0,[],[],[],[],[],,,,,
spring-projects/spring-framework,spring-beans/src/main/java/org/springframework/beans/factory/annotation/AutowiredAnnotationBeanPostProcessor.java,19a1477228b8ed75926a15358e3253eb7ffa492e,Condition_Change,"-					else if (nonSyntheticConstructors == 2 && primaryConstructor != null && defaultConstructor != null) {
+					else if (nonSyntheticConstructors == 2 && primaryConstructor != null
+							&& defaultConstructor != null && !primaryConstructor.equals(defaultConstructor)) {",3,condition,Fix Kotlin bean w/ default + secondary ctors handling,"This commit polishes SPR-16022 fix in order to handle correctly
the case when primary and default constructors are the same when
a secondary constructor is defined.

Issue: SPR-16289
",[],0,[],[],[],[],[],1,1,"20571, 20836",0,0
spring-projects/spring-framework,spring-beans/src/main/java/org/springframework/beans/factory/annotation/AutowiredAnnotationBeanPostProcessor.java,2624b909060e0967e16771de7a35261decd5a4a9,Add_Condition,"+			if (method == null) {
+				return true;
+			}",3,condition,Avoid NPE in AutowiredAnnotationBeanPostProcessor,"Prior to this change, AABPP#determineRequiredStatus never checked the
return value of ReflectionUtils#findMethod when searching for a
'#required' attribute. This call returns null for annotations such as
@Inject, @Value and @Resource, and subsequently causes a
NullPointerException to be thrown when ReflectionUtils#invokeMethod is
called. The NPE is caught immediately and #determineRequiredStatus
returns defaulting to true, but this this approach is inefficient. It
is also problematic for users who have set breakpoints on NPE -- they
end up debugging into Spring internals, which is a false positive.

This commit checks the return value of of ReflectionUtils#findMethod,
and in the case of null, eagerly returns true.  There is no change to
external behavior, simply a more efficient and debugging-friendly
implementation.

Existing test cases already cover this change, given that it is purely
a refactoring.

Issue: SPR-9316
",[],0,[],[],[],[],[],1,0,"14001, 13954",1,0
